Title,Author/s,Listed by Teachers,Listed in AP exams
Chronicle of a Death Foretold,Gabriel García Márquez,x,
Ceremony,Leslie Marmon Silko,x,x
Cat's Eye,Margaret Atwood,,x
Catch-22,Joseph Heller,,x
Buck: A Memoir,MK Asante,x,
Bronx Masquerade,Nikki Grimes,x,
Broken for You,Stephanie Kallos,,x
Brideshead Revisited,Evelyn Waugh,,x
Breakfast of Champions,Kurt Vonnegut,x,
Born a Crime,Trevor Noah,x,
Bone: A Novel,Fae Myenne Ng,x,x
Bodega Dreams,Ernesto Quiñonez,x,
Black Boy,Richard Wright,x,x
Bird of Paradise: How I Became a Latina,Raquel Cepeda,x,
Billy Budd,Herman Melville,,x
Before We Were Free,Julia Alvarez,x,
Atonement,Ian McEwan,x,x
Asking For It,Louise O'Neill,x,
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,x,
Animal Farm,George Orwell,x,
An American Tragedy,Theodore Dreiser,,x
Always Running,Luis J. Rodriguez,x,
All the Pretty Horses,Cormac McCarthy,,x
All Souls,Michael Patrick MacDonald,x,
All Quiet on the Western Front,Erich Maria Remarque,x,
All Over Creation,Ruth Ozeki,,x
All American Boys,"Jason Reynolds, Brendan Kiely",x,
Alias Grace,Margaret Atwood,,x
A Yellow Raft in Blue Water,Michael Dorris,,x
A Tree Grows in Brooklyn,Betty Smith,,x
A Step from Heaven,An Na,x,
A Separate Peace,John Knowles,,x
A River Runs Through It,Norman Maclean,,x
A Prayer for Owen Meany,John Irving,,x
A Long Way Gone,Ishmael Beah,x,
A Human Being Died That Night,Pulma Gobodo-Madikizela,x,
A High Wind in Jamaica,Richard Hughes,,x
A Gesture Life,Chang-Rae Lee,,x
A Free Life: A Novel,Ha Jin,,x
A Fine Balance,Rohinton Mistry,,x
A Farewell to Arms,Ernest Hemingway,x,x
A Child Called It,Dave Pelzer,x,
A Bend in the River,V. S. Naipaul,,x
Written in the Sky,Matthew Kaopio,x,
The Warmth of Other Suns,Isabel Wilkerson,x,
The Undocumented Americans,Karla Cornejo Villavicencio,x,
Stride Toward Freedom,"Martin Luther King, Jr.",x,
Parable of the Sower,Octavia E. Butler,x,
Orlando,Virginia Woolf,,x
Nigger,Dick Gregory,x,
Moon of the Crusted Snow,Waubgeshig Rice,x,
Men We Reaped,Jesmyn Ward,x,
The Marrow Thieves,Cherie Dimaline,x,
Know My Name,Chanel Miller,x,
Kafka on the Shore,Haruki Murakami,,x
Jumped In,Patrick Flores-Scott,x,
Dancing in the Mosque,Homeira Qaderi,x,
No Country for Old Men,Cormac McCarthy,,x
Circe,Madeline Miller,x,
The Body,Stephen King,x,
The Bell Jar,Sylvia Plath,x,
Another Country,James Baldwin,,x
All Boys Aren't Blue,George M. Johnson,x,
Crying in H Mart,Michelle Zauner,x,
12 Years a Slave,Solomon Northup,x,
A Gathering of Old Men,Ernest Gaines,,x
A House for Mr. Biswas,V. S. Naipaul,,x
A Lesson Before Dying,Ernest Gaines,x,x
A Passage to India,E. M. Forster,,x
A Portrait of the Artist as a Young Man,James Joyce,,x
A Room with a View,E. M. Forster,,x
A Tale of Two Cities,Charles Dickens,,x
A Thousand Acres,Jane Smiley,,x
A Thousand Splendid Suns,Khaled Hosseini,x,x
"Absalom, Absalom",William Faulkner,,x
Adam Bede,George Eliot,,x
Alice's Adventures in Wonderland,Lewis Carroll,x,
All the King's Men,Robert Penn Warren,,x
All the Light We Cannot See,Anthony Doerr,,x
American Pastoral,Philip Roth,,x
Americanah,Chimamanda Ngozi Adichie,x,
Angle of Repose,Wallace Stegner,,x
Anna Karenina,Leo Tolstoy,,x
As I Lay Dying,William Faulkner,,x
Autobiography of an Ex-Colored Man,James Weldon Johnson,,x
Beloved,Toni Morrison,x,x
Between the World and Me,Ta-Nehisi Coates,x,
Bleak House,Charles Dickens,,x
Bless Me Ultima,Rudolfo Anaya,x,x
Brave New World,Aldous Huxley,x,x
"Breath, Eyes, Memory",Edwidge Danticat,x,x
"Brown Girl, Brownstones",Paule Marshall,,x
Candide,Voltaire,x,x
Clotel,William Wells Brown,x,
Crime and Punishment,Fyodor Dostoevsky,x,x
Cry the Beloved Country,Alan Paton,x,x
Daisy Miller,Henry James,,x
David Copperfield,Charles Dickens,,x
Dear Martin,Nic Stone,x,
Death in Venice,Thomas Mann,,x
Divergent,Veronica Roth,x,
Dracula,Bram Stoker,x,x
Emma,Jane Austen,,x
Ender's Game,Orson Scott Card,x,
Enrique's Journey,Sonia Nazario,x,
Ethan Frome,Edith Wharton,,x
Fahrenheit 451,Ray Bradbury,x,
For Whom the Bell Tolls,Ernest Hemingway,,x
Frankenstein,Mary Shelley,x,x
Germinal,Emile Zola,,x
Go Tell It on the Mountain,James Baldwin,,x
Great Expectations,Charles Dickens,,x
Gulliver's Travels,Jonathan Swift,,x
Hard Times,Charles Dickens,,x
Heart of Darkness,Joseph Conrad,x,x
Holes,Louis Sachar,x,
Home to Harlem,Claude McKay,,x
House Made of Dawn,N Scott Momaday,,x
Housekeeping: A Novel,Marilynne Robinson,,x
House of the Scorpion,Nancy Farmer,x,
Howards End,E. M. Forster,,x
I am Malala,Malala Yousafzai,x,
In the Time of the Butterflies,Julia Alvarez,x,x
Invisible Man,Ralph Ellison,x,x
Jane Eyre,Charlotte Bronte,,x
Jude the Obscure,Thomas Hardy,,x
Just Mercy,Bryan Stevenson,x,
Kindred,Octavia E. Butler,x,x
Little Women,Louisa May Alcott,,x
Lolita,Vladimir Nabokov,,x
Lord Jim,Joseph Conrad,,x
Lord of the Flies,William Golding,x,x
Madame Bovary,Gustave Flaubert,,x
Maggie: A Girl of the Streets,Stephen Crane,,x
Main Street,Sinclair Lewis,,x
Mansfield Park,Jane Austen,,x
Middlemarch,George Eliot,,x
Midnight's Children,Salman Rushdie,,x
Moby Dick,Herman Melville,,x
Moll Flanders,Daniel Defoe,,x
Mrs. Dalloway,Virginia Woolf,,x
Narrative of the Life of Frederick Douglass,Frederick Douglass,x,
Native Son,Richard Wright,x,x
Nervous Conditions,Tsitsi Dangarembga,,x
Never Let Me Go,Kazuo Ishiguro,,x
Night,Elie Wiesel,x,x
Nineteen Eighty-Four,George Orwell,x,x
Northanger Abbey,Jane Austen,,x
O Pioneers!,Willa Cather,,x
Oliver Twist,Charles Dickens,,x
Pale Fire,Vladimir Nabokov,,x
Patron Saints of Nothing,Randy Ribay,x,
Persuasion,Jane Austen,,x
Pride and Prejudice,Jane Austen,x,x
Ragtime,E. L. Doctorow,,x
Robinson Crusoe,Daniel Defoe,,x
Salvage the Bones,Jesmyn Ward,x,
Sense and Sensibility,Jane Austen,,x
Siddhartha,Hermann Hesse,x,x
Silas Marner,George Eliot,,x
Sister Carrie,Theodore Dreiser,,x
Slaughterhouse Five,Kurt Vonnegut,x,x
Song of Solomon,Toni Morrison,x,x
Sula,Toni Morrison,x,x
Tess of the D'Urbervilles,Thomas Hardy,,x
The 57 Bus,Dashka Slater,x,
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,x,
The Adventures of Huckleberry Finn,Mark Twain,x,x
The Age of Innocence,Edith Wharton,,x
The American,Henry James,,x
The Awakening,Kate Chopin,x,x
The Blind Assassin,Margaret Atwood,,x
The Bluest Eye,Toni Morrison,x,x
The Book Thief,Markus Zusak,x,
The Brief Wondrous Life of Oscar Wao,Junot Díaz,x,x
The Brothers Karamazov,Fyodor Dostoevsky,,x
The Catcher in the Rye,J.D. Salinger,x,x
The Chosen,Chaim Potok,,x
The Coldest Winter Ever,Sister Souljah,x,
The Color Purple,Alice Walker,x,x
The Count of Monte Cristo,Alexandre Dumas,x,
The Country of the Pointed Firs,Sarah Orne Jewett,,x
The English Patient,Michael Ondaatje,,x
The Fixer,Bernard Malamud,,x
The Girl on the Train,Paula Hawkins,x,
The Giver,Lois Lowry,x,
The Glass Castle,Jeannette Walls,x,
The God of Small Things,Arundhati Roy,,x
The Golden Bowl,Henry James,,x
The Goldfinch,Donna Tartt,,x
The Good Soldier,Ford Maddox Ford,,x
The Grapes of Wrath,John Steinbeck,x,x
The Great Gatsby,F. Scott Fitzgerald,x,x
The Handmaid's Tale,Margaret Atwood,x,x
The Hate U Give,Angie Thomas,x,
The Haunting of Hill House,Shirley Jackson,,x
The Help,Kathryn Stockett,x,
The House of Mirth,Edith Wharton,,x
The House of Seven Gables,Nathaniel Hawthorne,,x
The House on Mango Street,Sandra Cisneros,x,x
The Hunger Games,Suzanne Collins,x,
The Inheritance of Loss,Kiran Desai,,x
The Joys of Motherhood,Buchi Emecheta,,x
The Jungle,Upton Sinclair,x,x
The Last of the Mohicans,James Fenimore Cooper,,x
