,title,coref_IDs,common_aliases,gender,race / ethnicity,num_mentions,dialogue,burstiness
929,oryx and crake - atwood,149,['Oryx'],F,Asian,879,137,0.7457532943751938
792,orlando - woolf,151,"['Orlando', 'ORLANDO']",M,White,2184,147,0.38441195992610944
341,oranges are not the only fruit - winterson,0_112,['Jeanette'],F,White (unmarked),2373,260,0.402587232
342,oranges are not the only fruit - winterson,176,"['my mother', 'My mother']",F,White (unmarked),997,281,0.5689026474076854
343,oranges are not the only fruit - winterson,170,['Winnet'],F,White (unmarked),295,27,0.7146273849919014
344,oranges are not the only fruit - winterson,156,['Melanie'],F,White (unmarked),249,32,0.7713366627910719
951,one hundred years of solitude - marquez,112,['Ursula'],F,Latino/a/x,2562,272,0.5225326291931969
952,one hundred years of solitude - marquez,115,['Aureliano'],M,Latino/a/x,2112,136,0.5478054987148336
953,one hundred years of solitude - marquez,110,['Jose Arcadio Buendia'],M,Latino/a/x,1342,104,0.6530239693235688
954,one hundred years of solitude - marquez,113,['Aureliano Segundo'],M,Latino/a/x,1171,49,0.8380925713133817
955,one hundred years of solitude - marquez,166,['Fernanda'],F,Latino/a/x,827,27,0.5560635685475369
956,one hundred years of solitude - marquez,160,['Jose Arcadio Segundo'],M,Latino/a/x,672,23,0.7151655552537096
941,one flew over the cuckoo s nest - kesey,129,"['McMurphy', 'Randle', 'Mr. McMurphy']",M,White,2658,426,0.6236283952800191
939,one flew over the cuckoo s nest - kesey,0_107_130_4437,"['Chief', 'Chief Bromden', 'Bromden']",M,"Native/Indigenous, White",2150,74,0.4802915461490835
940,one flew over the cuckoo s nest - kesey,211_622,"['the nurse', 'The nurse', 'The Big Nurse', 'the Big Nurse']",F,White,1196,198,0.6056324263487295
942,one flew over the cuckoo s nest - kesey,126,"['Mr. Harding', 'Harding']",M,White,718,157,0.5967671036128918
1470,one day in the life of ivan denisovich - solzhenitsyn,50,"['Shukhov', 'Ivan Denisovich']",M,White,1693,149,0.4255294500600998
1471,one day in the life of ivan denisovich - solzhenitsyn,54,"['Tsezar', 'Tsezar Markovich']",M,White,219,27,0.6532201602669023
1472,one day in the life of ivan denisovich - solzhenitsyn,59,['Tiurin'],M,White,206,50,0.589884326
1473,one day in the life of ivan denisovich - solzhenitsyn,60,['Pavlo'],M,White,203,38,0.5974784952798695
55,oliver twist - dickens,125,"['Oliver', 'Oliver Twist', 'OLIVER TWIST', 'little Oliver', 'OLIVER']",M,White,3086,255,0.8013972711130802
54,oliver twist - dickens,1125_153,"['The Jew', 'Mr. Fagin', 'the Jew', 'Fagin']",M,White,1686,510,0.7686650148290248
56,oliver twist - dickens,130,"['Bumble', 'Mr. Bumble']",M,White (unmarked),1001,257,0.8364552047307215
57,oliver twist - dickens,1778,"['the girl', 'The girl']",F,White (unmarked),958,204,0.8276170472185141
58,oliver twist - dickens,149,"['Bill Sikes', 'Sikes', 'Bill']",M,White,780,294,0.7485161282996706
84,old school - wolff,0,['narrator'],M,White (unmarked),2317,0,0.45953328867131854
85,old school - wolff,221,['Arch'],M,White (unmarked),495,0,0.3697291348128467
86,old school - wolff,170,"['Mr. Ramsey', 'Ramsey']",M,White (unmarked),252,0,0.6468748189875095
235,of mice and men - steinbeck,16,['Lennie'],M,White (unmarked),1293,295,0.5204210445557725
236,of mice and men - steinbeck,18,['George'],M,White (unmarked),1245,368,0.4547241149907818
237,of mice and men - steinbeck,27,['Curley'],M,White,328,33,0.6376640404618663
238,of mice and men - steinbeck,26,['Slim'],M,White (unmarked),307,106,0.6793779271874547
239,of mice and men - steinbeck,37,['Crooks'],M,Black,294,98,0.7635309058297846
240,of mice and men - steinbeck,33,"['old Candy', 'Candy', 'Old Candy']",M,White (unmarked),249,69,0.5714438726770728
241,of mice and men - steinbeck,676,['Curley ’s wife'],F,White (unmarked),241,54,0.8272175960468565
293,of beetles and angels - asgedom,0_2435,"['Mawi', 'Mawi Asgedom']",M,Black,996,33,0.3252754451702423
294,of beetles and angels - asgedom,216,"['My father', 'my father']",M,Black,290,0,0.579093592
295,of beetles and angels - asgedom,155,['Tewolde'],M,Black,137,12,0.3926734931380406
1070,octopus - norris,370,"['Annixter', 'Mr. Annixter', 'Buck Annixter']",M,White (unmarked),2514,505,0.6967858209313592
1071,octopus - norris,361,"['Presley', 'Mr. Presley']",M,White (unmarked),2396,309,0.717482681
1072,octopus - norris,368,"['Derrick', 'Magnus Derrick', 'Magnus']",M,White (unmarked),1265,179,0.6773385607307537
1073,octopus - norris,386,['Vanamee'],M,White (unmarked),1131,78,0.8261968853248377
1074,octopus - norris,400,"['Hilma', 'Hilma Tree']",F,White,1100,132,0.7714669576157599
1075,octopus - norris,384,['Buck'],M,White (unmarked),789,84,0.7824070380145366
784,obasan - kogawa,0_200,"['Naomi', 'Naomi Nakane']",F,Asian,2497,171,0.29109946216835525
785,obasan - kogawa,193,"['Nomura - obasan', 'Aya Obasan', 'Aya', 'Obasan']",F,Asian,900,163,0.5478474909689085
786,obasan - kogawa,201,['Stephen'],M,Asian,686,95,0.5195282338585827
787,obasan - kogawa,191,['Aunt Emily'],F,Asian,488,139,0.6787867938004088
196,o pioneers - cather,64,"['Alexandra', 'Alexandra Bergson']",F,White,1729,223,0.5571173804612076
197,o pioneers - cather,63,"['Emil', 'Emil Bergson']",M,White,983,111,0.6014649371394133
198,o pioneers - cather,94,"['Frank', 'Frank Shabata']",M,White,639,25,0.7092327064207221
199,o pioneers - cather,91,"['Marie', 'Marie Shabata']",F,White,590,61,0.7472427591032935
200,o pioneers - cather,66,"['Carl', 'Carl Linstrum']",M,White,580,75,0.7785464386677294
201,o pioneers - cather,80,['Ivar'],M,White,354,25,0.7047003550536255
849,northanger abbey - austen,75,"['Morland', 'Catherine']",F,White,3499,391,0.3698588980979554
850,northanger abbey - austen,85,"['Henry', 'Henry Tilney', 'Mr. Tilney']",M,White,882,87,0.6169533515785502
851,northanger abbey - austen,90,"['Isabella', 'Thorpe']",F,White,679,110,0.7134647870371281
87,noah s compass - tyler,80,"['Liam Pennywell', 'Liam']",M,White (unmarked),5007,1122,0.23153800711494307
88,noah s compass - tyler,115,['Eunice'],F,White (unmarked),1277,355,0.7005114289304144
89,noah s compass - tyler,83,['Kitty'],F,White (unmarked),896,275,0.6995770202760998
90,noah s compass - tyler,92,['Barbara'],F,White,425,139,0.694884992
826,no disrespect - souljah,0,"['Souljah', 'Sister Souljah', 'Sister']",F,Black,7009,567,0.470990949
827,no disrespect - souljah,176,['Chance'],M,Black,831,99,0.8062033095303264
828,no disrespect - souljah,140,['Nikki'],F,Black,693,83,0.5426686898496751
829,no disrespect - souljah,122,"['Nathan', 'Nate']",M,Black,671,84,0.8201639641206787
246,no country for old men - mccarthy,0_128,"['Ed', 'Ed Tom Bell', 'Sheriff Bell', 'Bell', 'Sheriff']",M,White (unmarked),3468,90,0.5358165762132436
247,no country for old men - mccarthy,129,['Moss'],M,White,1174,19,0.7502072380958453
248,no country for old men - mccarthy,126,['Chigurh'],M,White (unmarked),838,9,0.7709127850329267
1314,no ashes in the fire - moore,0_243,"['Darnell', 'Darnell L. Moore']",M,Black,3985,52,0.25244491420298176
1531,nineteen eighty four - orwell,130,"['Smith', 'Winston Smith', 'Winston']",M,White,3487,246,0.6614444071365495
1532,nineteen eighty four - orwell,132,['O’Brien'],M,White (unmarked),864,241,0.7954079029324604
1533,nineteen eighty four - orwell,154,['Julia'],F,White,444,89,0.6185147291648193
230,night - wiesel,0,"['Elie Wiesel', 'Elie']",M,White,1369,78,0.39748077996673026
231,night - wiesel,116,"['My father', 'my father']",M,White,456,70,0.5109501432929303
399,nigger - gregory,0_194_211,"['Gregory', 'Dick Gregory', 'Dick']",M,Black,4252,193,0.23285302700711566
400,nigger - gregory,174,"['my Momma', 'My Momma', 'Momma']",F,Black,516,81,0.65398096
401,nigger - gregory,235,"['Lillian', 'Lil']",F,Black,350,46,0.547374449
1574,never let me go - ishiguro,0_60,['Kathy'],F,White,3967,324,0.29472971056225566
1575,never let me go - ishiguro,62,['Tommy'],M,White,1897,275,0.6603195163346128
1576,never let me go - ishiguro,61,['Ruth'],F,White,1591,250,0.7015621390684239
1577,never let me go - ishiguro,80,['Madame'],F,White,425,49,0.7631477077709194
680,nervous conditions - dangarembga,0_64,['Tambu'],F,Black,4039,123,0.3578014251490548
681,nervous conditions - dangarembga,58,['Nyasha'],F,Black,1578,198,0.7151632929483599
682,nervous conditions - dangarembga,61,['Babamukuru'],M,Black,1274,195,0.5148048
683,nervous conditions - dangarembga,57,['Maiguru'],F,Black,830,145,0.6021531116605823
684,nervous conditions - dangarembga,56,"['Lucia', 'Mainini']",F,Black,550,91,0.8264123431690753
685,nervous conditions - dangarembga,124,"['my mother', 'My mother']",F,Black,496,76,0.5771725205471988
113,native speaker - lee,0_229,['Henry'],M,Asian,4785,451,0.28836760357034097
114,native speaker - lee,237,"['Kwang', 'John Kwang', 'John']",M,Asian,1301,118,0.7340342687641024
115,native speaker - lee,226,['Lelia'],F,White (unmarked),1203,260,0.7279893036978968
116,native speaker - lee,380,"['My father', 'my father']",M,Asian,738,59,0.5977249084835871
117,native speaker - lee,234,['Jack'],M,White,706,203,0.7148333957811074
1553,native son - wright,119,"['Bigger Thomas', 'Thomas', 'Bigger']",M,Black,8194,1127,0.6805616378606663
1554,native son - wright,162,"['Max', 'Mr. Max']",M,White,1329,269,0.9118753779255215
1555,native son - wright,158,"['Jan Erlone', 'Jan', 'Erlone', 'Mr. Jan']",M,White,1030,148,0.7209676646028859
1556,native son - wright,141,"['Mary Dalton', 'Mary', 'Dalton']",F,White,868,106,0.5826084101153303
1557,native son - wright,129,"['Dalton', 'Mr. Dalton']",M,White,800,261,0.7143528928286927
886,narrative of the life of frederick douglass - douglass,0_82,"['Frederick', 'Frederick Douglass']",M,Black,1882,27,0.46318990359315787
887,narrative of the life of frederick douglass - douglass,95,"['Covey', 'Mr. Covey']",M,White,324,4,0.77278129
1145,namesake - lahiri,357,"['Gogol Ganguli', 'Gogol', 'Nikolai Gogol']",M,Asian,3670,182,0.7011599598931009
1144,namesake - lahiri,332_632,"['his mother', 'Ashima', 'His mother', 'Ganguli']",F,Asian,1941,170,0.7429427858270115
1146,namesake - lahiri,383,['Moushumi'],F,Asian,1453,98,0.9104117600016345
1147,namesake - lahiri,333,['Ashoke'],M,Asian,734,65,0.7989904188659935
1002,my name is asher lev - potok,0_215,"['Asher Lev', 'my Asher', 'Asher']",M,White,9048,600,0.1407988172285741
1003,my name is asher lev - potok,349,"['my mother', 'My mother']",F,White,1807,705,0.5494090081951873
1004,my name is asher lev - potok,324,"['My father', 'my father']",M,White,1743,509,0.5483859460016961
1005,my name is asher lev - potok,266,"['Jacob', 'Jacob Kahn']",M,White,735,266,0.6070754871523516
181,my ántonia - cather,0_123_126,['Jim'],M,White,2564,163,0.39523891645990866
182,my ántonia - cather,124,"['Antonia', 'Tony']",F,White,1144,131,0.5766319618309694
183,my ántonia - cather,122,"['Lena', 'Lena Lingard']",F,White,687,96,0.8515890169776027
316,mrs dalloway - woolf,159,"['Dalloway', 'Clarissa', 'Clarissa Dalloway']",F,White,1212,82,0.6857545752561602
317,mrs dalloway - woolf,161,"['Peter Walsh', 'Peter']",M,White (unmarked),657,42,0.7107419796415343
318,mrs dalloway - woolf,180,['Septimus'],M,White,391,16,0.7748748226415058
319,mrs dalloway - woolf,167,"['Elizabeth', 'Ellie Henderson']",F,White,313,7,0.6794038857916185
320,mrs dalloway - woolf,172,"['Richard Dalloway', 'Richard']",M,White,299,16,0.6631502138377713
321,mrs dalloway - woolf,178,['Miss Kilman'],F,White,289,14,0.8443409254199702
907,moor s last sigh - rushdie,0_506_575,"['Moraes', 'Moraes Zogoiby', 'Moor']",M,"White, MENA, Asian",4480,318,0.5120420245588961
908,moor s last sigh - rushdie,507,"['Aurora da Gama', 'Aurora', 'Aurora Zogoiby']",F,"White, Asian",1504,208,0.6555213423032763
909,moor s last sigh - rushdie,562,"['Zogoiby', 'Abraham', 'Abraham Zogoiby', 'Abie']",M,"White, MENA, Asian",1131,170,0.6173831059354189
910,moor s last sigh - rushdie,503,"['Vasco', 'Vasco Miranda', 'Miranda']",M,"Asian, White",841,128,0.7120446629349811
1191,moon of the crusted snow - rice,28,"['Evan', 'Ev']",M,Native/Indigenous,2056,351,0.49305096997351655
1192,moon of the crusted snow - rice,68,"['Justin Scott', 'Scott']",M,White,511,119,0.5744353103799746
1193,moon of the crusted snow - rice,32,['Nicole'],F,Native/Indigenous,455,111,0.6466786573158971
1194,moon of the crusted snow - rice,38,['Isaiah'],M,Native/Indigenous,279,89,0.47722779493547746
265,monkey bridge - cao,0_185,['Mai'],F,Asian,3135,144,0.3268415913005953
266,monkey bridge - cao,241,"['my mother', 'My mother']",F,Asian,1195,144,0.5917123297007653
568,moll flanders - defoe,0_141,"['Moll Flanders', 'Moll']",F,White (unmarked),9716,437,0.30712972532527005
300,moby dick - melville,0_565,['Ishmael'],M,White (unmarked),2094,160,0.6074783897446413
301,moby dick - melville,598,"['Captain Ahab', 'Ahab', 'old Ahab']",M,White (unmarked),1754,230,0.7145599628128285
302,moby dick - melville,610,"['Mr. Stubb', 'Stubb']",M,White (unmarked),898,175,0.6729680989410474
303,moby dick - melville,578,['Queequeg'],M,Pacific Islander,786,39,0.7309336092203054
1217,mill on the floss - eliot,123,"['Maggie Tulliver', 'Magsie', 'Maggie']",F,White,6781,745,0.7197261529086291
1218,mill on the floss - eliot,121,"['Tom', 'Mr. Tom', 'Tom Tulliver', 'Master Tom', 'cousin Tom', 'Poor Tom']",M,White,4043,505,0.6979270538101622
1219,mill on the floss - eliot,130,"['Phil', 'Philip Wakem', 'Philip', 'Wakem']",M,White (unmarked),1900,235,0.7890851190172914
1220,mill on the floss - eliot,226,"['Mr. Stephen Guest', 'Stephen', 'Mr. Guest']",M,White (unmarked),1174,189,0.8595220836047172
1221,mill on the floss - eliot,132,['Lucy'],F,White (unmarked),963,192,0.7697149639108926
1222,mill on the floss - eliot,125,"['Poor Mrs. Tulliver', 'Tulliver', 'poor Mrs. Tulliver', 'Mrs. Tulliver']",F,White (unmarked),935,208,0.6920005606024299
1223,mill on the floss - eliot,127,"['Bob Jakin', 'Bob']",M,White (unmarked),921,163,0.8556599332339944
1016,midnight s children - rushdie,0,['Saleen'],M,Asian,6225,289,0.4460546039762403
1466,middlesex - eugenides,0_678_683_854_921,"['Cal', 'Callie', 'Calliope']",NB,White,6354,386,0.48334710161200806
1467,middlesex - eugenides,680,"['Desdemona', 'Desdemona Stephanides']",F,White,1949,398,0.8400250115007243
1468,middlesex - eugenides,685,"['Milton', 'Milton Stephanides', 'Milt', 'Stephanides']",M,White,1604,344,0.7301124005201887
1469,middlesex - eugenides,717,"['Lefty Stephanides', 'Lefty', 'Stephanides']",M,White,1218,183,0.8425251826673936
47,middlemarch - eliot,191,"['Dorothea', 'Poor Dorothea', 'Brooke']",F,White (unmarked),5343,588,0.8675722960556518
48,middlemarch - eliot,249,"['Lydgate', 'Mr. Lydgate', 'Captain Lydgate']",F,White (unmarked),3780,417,0.8058283464748663
49,middlemarch - eliot,241,"['Will Ladislaw', 'young Ladislaw', 'Ladislaw', 'Will']",M,White (unmarked),2897,282,0.8084148827875566
50,middlemarch - eliot,253,"['Rosamond', 'Rosamond Vincy', 'Poor Rosamond']",F,White (unmarked),2444,340,0.8067566224376552
51,middlemarch - eliot,280,"['Fred', 'Fred Vincy']",M,White (unmarked),1905,237,0.8213138276348182
52,middlemarch - eliot,245,"['Mr. Bulstrode', 'Bulstrode']",M,White (unmarked),1892,174,0.7762420653214017
53,middlemarch - eliot,205,"['Poor Mr. Casaubon', 'Mr. Casaubon', 'Casaubon']",M,White (unmarked),1848,136,0.8059454114604906
1034,metamorphosis - kafka,5,['Gregor'],M,White,1471,25,0.4189988530302077
1035,metamorphosis - kafka,45,"['his sister', 'His sister']",F,White,216,13,0.45176521123672625
1036,metamorphosis - kafka,44,"['His father', 'his father']",M,White,176,16,0.470286778
1037,metamorphosis - kafka,38,"['his mother', 'His mother']",F,White,110,7,0.4359898803877739
442,men we reaped - ward,0_5470,['Jesmyn'],F,Black,4115,203,0.28282258742154737
443,men we reaped - ward,157,"['Joshua', 'Josh']",M,Black,772,99,0.6200177111760993
444,men we reaped - ward,233,"['my mother', 'My mother']",F,Black,749,32,0.5620153735613636
445,men we reaped - ward,235,"['My father', 'my father']",M,Black,640,33,0.6008465391591629
446,men we reaped - ward,169,"['J.', 'C. J.']",M,Black,384,33,0.7601260914618276
21,memory keeper s daughter - edwards,141,"['Honey', 'Norah', 'Norah Henry']",F,White,3260,515,0.7286744538312332
22,memory keeper s daughter - edwards,144,"['David', 'David Henry']",M,White (unmarked),2998,403,0.7559181044411543
23,memory keeper s daughter - edwards,139,"['Caroline Gill', 'Linda', 'Caroline']",F,White (unmarked),2806,399,0.7906942605980705
24,memory keeper s daughter - edwards,138,['Paul'],M,White,2805,316,0.7146574274979679
25,memory keeper s daughter - edwards,137,['Phoebe'],F,White,1301,158,0.7212893015574527
26,memory keeper s daughter - edwards,154,['Al'],M,White (unmarked),665,153,0.8062440633971097
27,memory keeper s daughter - edwards,147,['Bree'],F,White (unmarked),656,172,0.7418283380389955
202,member of the wedding - mccullers,78_92,"['Frankie', 'Frankie Addams', 'Frances', 'The old Frankie', 'Jasmine', 'the old Frankie', 'F. Jasmine']",F,White,3463,567,0.24290799938799618
203,member of the wedding - mccullers,79,"['God', 'Berenice']",F,Black,1181,392,0.6288832330884767
204,member of the wedding - mccullers,80,"['John Henry', 'John Henry West']",M,White,622,127,0.5741533526553292
930,mayor of casterbridge - hardy,118,"['Michael Henchard', 'Michael', 'Susan Henchard', 'Henchard', 'Mike', 'Mr. Henchard']",M,White (unmarked),2558,451,0.5190588466737867
931,mayor of casterbridge - hardy,117,"['Elizabeth', 'Jane', 'Elizabeth - Jane']",F,White,2022,294,0.6570414431637016
932,mayor of casterbridge - hardy,146,['Lucetta'],F,White (unmarked),1057,155,0.72743635
933,mayor of casterbridge - hardy,134,"['Donald Farfrae', 'Farfrae', 'Donald']",M,White,1055,157,0.5053315967840685
934,mayor of casterbridge - hardy,119,['Susan'],F,White (unmarked),749,67,0.7615019191304626
1136,marrow thieves - dimaline,0_60,['Frenchie'],M,Native/Indigenous,2699,207,0.38060558942965733
1137,marrow thieves - dimaline,70,['Miig'],M,Native/Indigenous,750,197,0.5118723120614975
1138,marrow thieves - dimaline,84,['Rose'],F,Native/Indigenous,499,98,0.49363441108294104
1139,marrow thieves - dimaline,72,['Minerva'],F,Native/Indigenous,355,20,0.4672605410421575
1140,marrow thieves - dimaline,71,['RiRi'],F,Native/Indigenous,276,66,0.5703097810689975
659,mansfield park - austen,105,"['Fanny', 'Fanny Price']",F,White,5852,325,0.5703771542418996
660,mansfield park - austen,100,"['Mr. Bertram', 'Bertram', 'Edmund']",M,White,1915,260,0.5905560060106304
661,mansfield park - austen,92,"['Sir Thomas', 'Tom', 'Sir Thomas Bertram', 'Tom Bertram']",M,White,1353,129,0.6095259840452344
662,mansfield park - austen,115,"['Miss Crawford', 'Crawford']",F,White,1200,168,0.6045513953251574
663,mansfield park - austen,96,"['Mrs. Norris', 'aunt Norris', 'Norris']",F,White,875,108,0.6497943567639195
664,mansfield park - austen,120,"['Mr. Crawford', 'Crawford']",M,White,806,57,0.5998220184370238
1431,mama day - naylor,188_196,"['Mama', 'Miss Miranda', 'Miranda', 'Mama Day']",F,Black,2500,400,0.6540739173116527
1430,mama day - naylor,0_195_210,"['Cocoa', 'Ophelia']",F,Black,2394,88,0.598645526
1432,mama day - naylor,197_0,['George'],M,Black,2271,174,0.7382058176028906
1433,mama day - naylor,225,"['Bernice Duvall', 'Bernice']",F,Black,601,47,0.7286528165803001
1434,mama day - naylor,187,"['Abby', 'Miss Abigail', 'Abigail']",F,Black,593,177,0.5981499385054634
291,main street - lewis,476,"['Carol', 'Carrie', 'Doc Kennicott', 'Carol Kennicott', 'Dr. Kennicott', 'Will Kennicott', 'Kennicott', 'Dr. Will Kennicott']",F,White (unmarked),5880,821,0.44805304465149975
292,main street - lewis,494,"['Vida', 'Vida Sherwin', 'Miss Sherwin']",F,White,768,95,0.6718263267848815
1200,maggie a girl of the streets - crane,12,['Jimmie'],M,White (unmarked),507,61,0.6832436710502864
1201,maggie a girl of the streets - crane,15,['Pete'],M,White (unmarked),447,75,0.6949060265615006
1199,maggie a girl of the streets - crane,11_282,"['the girl', 'Maggie', 'The girl']",F,White,413,22,0.566368885
1198,maggie a girl of the streets - crane,153_20,"['Mary Johnson', 'Mary', 'The mother', 'the mother']",F,White,156,31,0.6011581715306862
1286,madame bovary - flaubert,178,['Emma'],F,White,3314,355,0.5859211181734065
1287,madame bovary - flaubert,173,['Charles'],M,White (unmarked),1706,169,0.6593252818791389
1288,madame bovary - flaubert,168,"['Madame Bovary', 'Madame']",F,White,729,86,0.45978844296228893
1289,madame bovary - flaubert,201,"['Monsieur Leon', 'Leon']",M,White (unmarked),696,75,0.7628831781738653
1290,madame bovary - flaubert,218,"['Monsieur Boulanger', 'Rodolphe']",M,White (unmarked),679,140,0.7443665868762738
176,love medicine - erdrich,117_0,['Marie'],F,Native/Indigenous,1830,134,0.8664262889114042
178,love medicine - erdrich,112_0,"['Lamartine', 'the Lamartine', 'Lulu', 'Lulu Lamartine']",F,Native/Indigenous,1456,83,0.7905082711526861
177,love medicine - erdrich,122_0,"['Kashpaw', 'Nector Kashpaw', 'Nector']",M,Native/Indigenous,1172,60,0.8691824451579341
180,love medicine - erdrich,99_0,"['Lipsha', 'Lipsha Morrissey']",M,Native/Indigenous,1122,91,0.8765228454587285
175,love medicine - erdrich,104_0,['Albertine'],F,Native/Indigenous,790,48,0.8554414017068286
173,love medicine - erdrich,91,['Gordie'],M,Native/Indigenous,627,64,0.7682914690086521
179,love medicine - erdrich,144_0,['Lyman'],M,Native/Indigenous,568,56,0.8206412255450501
174,love medicine - erdrich,93,"['King', 'King Junior']",M,Native/Indigenous,541,97,0.8665791115929846
642,lord of the flies - golding,25,['Ralph'],M,White,2488,668,0.48010410596112557
643,lord of the flies - golding,30,"['Jack Merridew', 'Jack', 'Merridew', 'Johnny']",M,White,1016,374,0.5817339658418729
644,lord of the flies - golding,26,['Piggy'],M,White (unmarked),891,311,0.5545000375392583
645,lord of the flies - golding,39,['Simon'],M,White (unmarked),420,33,0.5704618178750827
1021,lord jim - conrad,0_115,['Marlow'],M,White,3067,271,0.5112149386099716
1022,lord jim - conrad,116,"['Tuan', 'Jim', 'Tuan Jim']",M,White,2884,299,0.6613734232537722
1023,lord jim - conrad,171,['Brown'],M,White,594,72,0.5492229355016139
1024,lord jim - conrad,154,"['Mr. Stein', 'Stein']",M,White,594,78,0.712260395
935,look homeward angel - wolfe,542,"['Gene', 'Bessie Gant', 'Brother Gant', 'Gant', 'Eugene Gant', 'Mr. Gant', 'Eugene']",M,White,7130,1014,0.5548077898036778
936,look homeward angel - wolfe,560,"['Elizabeth', 'Mrs. Gant', 'Eliza']",F,White,2432,604,0.6836711705600164
937,look homeward angel - wolfe,554,"['Poor old Ben', 'Ben', 'Ben Jonson', 'Old Ben']",M,White,1085,281,0.64866775
496,long way gone - beah,0_130,"['Ishmael', 'Ishmael Beah']",M,Black,4183,98,0.41897647011805494
59,lolita - nabokov,0_355_360_398,['Humbert'],M,White,5280,225,0.19894460781699808
60,lolita - nabokov,350,"['Lo', 'Lola', 'Dolly', 'Lolita', 'Dolores', 'my Lolita']",F,White,1479,181,0.614359899
71,little women - alcott,131,"['Jo', 'Miss Jo', 'Poor Jo']",F,White,5408,872,0.6316155657446831
72,little women - alcott,130,"['Mr. Laurence', 'Laurie']",M,White,3068,519,0.6931128016426426
73,little women - alcott,247,['Amy'],F,White,2501,329,0.6753341916556765
74,little women - alcott,139,"['Margaret', 'Meg']",F,White,2118,348,0.6725962673923576
75,little women - alcott,136,"['Beth', 'my Beth']",F,White,1312,137,0.6155669673749607
1498,linden hills - naylor,164,"['White', 'Willie']",M,Black,1987,434,0.7277501098850494
1499,linden hills - naylor,166,"['Les', 'Lester']",M,Black,1105,389,0.6973553175327988
1500,linden hills - naylor,155,"['Luther Nedeed', 'Nedeed', 'Luther', 'Mr. Nedeed']",M,Black,913,112,0.6940566272235097
1501,linden hills - naylor,224,"['Laurel Dumont', 'Laurel']",F,Black,768,76,0.7646457977825613
1502,linden hills - naylor,190,"['Reverend Hollis', 'Hollis']",M,Black,608,64,0.8597318162507585
1123,like water for chocolate - esquivel,29,['Tita'],F,Latino/a/x,2525,84,0.4375216411412935
1124,like water for chocolate - esquivel,34,['Pedro'],M,Latino/a/x,625,44,0.5762293147257233
1125,like water for chocolate - esquivel,31,['Rosaura'],F,Latino/a/x,510,16,0.6457380267082814
1126,like water for chocolate - esquivel,28,"['Mama Elena', 'Mama']",F,Latino/a/x,462,56,0.5075100040891347
1127,like water for chocolate - esquivel,48,"['Dr. Brown', 'John', 'John Brown']",M,Latino/a/x,331,21,0.53653402
1128,like water for chocolate - esquivel,32,['Gertrudis'],F,Latino/a/x,327,11,0.6354788260816242
1129,like water for chocolate - esquivel,33,['Chencha'],F,Latino/a/x,272,8,0.5264377956789237
449,light in august - faulkner,72,"['Byron', 'Byron Bunch', 'Bunch']",M,White (unmarked),1364,234,0.8818327822269376
450,light in august - faulkner,75,"['Joey', 'Joe Brown', 'Brown']",M,White (unmarked),1259,103,0.8676427103476702
451,light in august - faulkner,96,['Joe'],M,"Black, White",1128,106,0.8715360869706424
452,light in august - faulkner,73,"['Christmas', 'Joe Christmas']",M,"White, Black",935,54,0.7485638913743616
453,light in august - faulkner,79,['Hightower'],M,White,899,121,0.8678284944397706
688,life of pi - martel,0,['Pi'],M,Asian,4754,220,0.5268353461945718
689,life of pi - martel,174,['Richard Parker'],M,Non-human,1052,54,0.7351491047950726
918,lesson before dying - gaines,0_58_99,"['Grant Wiggins', 'Grant']",M,Black,4480,677,0.5384741581765158
919,lesson before dying - gaines,53,['Jefferson'],M,Black,1261,168,0.7436714332287749
920,lesson before dying - gaines,68,['Vivian'],F,White,703,290,0.7812257519786181
921,lesson before dying - gaines,56,"['Miss Emma', 'Emma']",F,White (unmarked),611,153,0.6629364112602711
922,lesson before dying - gaines,153,"['my aunt', 'My aunt']",F,White (unmarked),509,124,0.6102916508374637
475,left to tell - ilibagiza,0_85,"['Immaculee', 'Immaculee Ilibagiza']",F,Black,5158,220,0.3226540997797386
476,left to tell - ilibagiza,80,['God'],M,Non-human,444,3,0.3689101867078888
1378,latehomecomer - yang,0,"['Kao Kalia Yang', 'Kao']",F,Asian,4391,84,0.346735094
1379,latehomecomer - yang,121,"['my grandma', 'My grandma', 'Grandma']",F,Asian,1184,42,0.6147546535495622
1380,latehomecomer - yang,164,"['my mother', 'My mother']",F,Asian,1004,34,0.5683712983815784
1381,latehomecomer - yang,165,"['My father', 'my father']",M,Asian,815,35,0.47801129500015543
1382,latehomecomer - yang,123,['Dawb'],F,Asian,529,20,0.5527793917635351
110,last of the mohicans - cooper,127_129,"['Heyward', 'Duncan', 'Major Heyward']",M,White,2034,419,0.572798886
111,last of the mohicans - cooper,121_708,"['The scout', 'Hawkeye', 'the scout']",M,White,1760,512,0.6726336480593136
112,last of the mohicans - cooper,144,['Magua'],M,Native/Indigenous,651,93,0.7194394408622993
92,know my name - miller,0_156,"['Chanel Miller', 'Chanel']",F,"Asian, White",9826,24,0.1735601889340719
93,know my name - miller,166,"['Brock', 'Turner', 'Brock Turner', 'TURNER']",M,White,565,7,0.5519243812543336
1068,knock at the door - ahnert,0_120,"['Margaret Ajemian Ahnert', 'Margaret']",F,MENA,3859,214,0.2732796645900938
