,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
40,0.0,0.0,0.22728861020470095,inf,0.22728861020470095,AP Only,White,White*,F,First person,0,3,False,thousand acres - smiley
41,0.0,0.0,0.08904213148716772,inf,0.08904213148716772,Teachers Only,White,White*,M,First person,1,0,False,thirteen reasons why - asher
42,0.07505643340857787,0.1717948717948718,0.6897700690984578,0.5968989653206415,0.6870148861160438,Both,White,White*,M,First person,17,2,True,things they carried - o'brien
43,1.0,1.0,0.5459340645496086,0.5459340645496086,inf,Both,Non-white,Black,M,Third person,22,8,False,things fall apart - achebe
44,1.0,1.0,0.8150142931850952,0.8086258265660992,inf,Teachers Only,Non-white,Native/Indigenous,F,First person,1,0,False,there there - orange
45,1.0,1.0,0.5258814787601768,0.5258814787601768,inf,Both,Non-white,Multiracial†,F,Third person,23,12,False,their eyes were watching god - hurston
46,0.0,0.0,0.5311396140941487,inf,0.5311396140941487,AP Only,White,White*,F,Third person,0,6,False,tess of the d urbervilles - hardy
47,1.0,1.0,0.7277562919341092,0.7277562919341092,inf,Teachers Only,Non-white,Latinx,M,Third person,1,0,False,tattooed soldier - tobar
48,0.0,0.0,0.78161634507285,inf,0.7394169320529628,AP Only,White,White*,M,Third person,0,3,False,tale of two cities - dickens
49,0.08766233766233766,0.16516308119361556,0.13814132826571462,0.6911255844878638,0.13814132826571462,Teachers Only,White,White*,NB,First person,1,0,True,symptoms of being human - garvin
50,0.0,0.0,0.1763327482566808,inf,0.1763327482566808,AP Only,White,White*,F,First person,0,2,False,surfacing - atwood
51,0.0,0.0,0.36157600521161903,inf,0.36157600521161903,AP Only,White,White*,M,First person,0,4,False,sun also rises - hemingway
52,1.0,1.0,0.6947293786281081,0.6404877374915836,inf,Both,Non-white,Black,F,Third person,3,8,False,sula - morrison
53,1.0,1.0,0.6013609043936732,0.6013609043936732,inf,Teachers Only,Non-white,Black,M,First person,1,0,False,stride toward freedom - king
54,0.9366075824716888,0.9168674698795181,0.7654238574672655,0.7258266783198549,0.7321140481233823,AP Only,Non-white,Black,F,Third person,0,1,True,street - petry
55,0.0,0.0,0.19039174590192573,inf,0.19039174590192573,Both,White,White*,M,First person,2,2,False,stranger - camus
56,0.0,0.0,0.4770137154020793,inf,0.4770137154020793,AP Only,White,White*,M,Third person,0,2,False,story of edgar sawtelle - wroblewski
57,0.0,0.0,0.21270158457166483,inf,0.21270158457166483,AP Only,White,White*,F,First person,0,1,False,stone angel - laurence
58,1.0,1.0,0.1925830586258551,0.1925830586258551,inf,Teachers Only,Non-white,AAPI,F,First person,3,0,False,step from heaven - na
59,0.0,0.0,0.2225718365404611,inf,0.2225718365404611,Teachers Only,White,White*,F,First person,4,0,False,speak - anderson
60,1.0,1.0,0.7350127091525224,0.6186529332965469,inf,Teachers Only,White,Latinx,M,Third person,3,0,False,spare parts - davis
61,0.8179563492063492,0.8485158648925282,0.7394543779826313,0.6308996487868491,0.7499862377297027,Teachers Only,Non-white,Latinx,M,First person,1,0,True,sound of things falling - vasquez
62,0.23336476998847322,0.38577850429096855,0.6843976095640142,0.7405968200170882,0.5383788679266147,AP Only,White,White*,M,First person,0,6,True,sound and the fury - faulkner
63,0.0,0.0,0.3339288123684691,inf,0.3339288123684691,AP Only,White,White*,M,First person,0,1,False,sorrows of young werther - goethe
64,0.0,0.0,0.6077328694455001,inf,0.6077328694455001,AP Only,White,White*,M,First person,0,2,False,sophie s choice - styron
65,1.0,1.0,0.7358394245895861,0.6437751549527996,inf,Both,Non-white,Black,M,Third person,4,8,False,song of solomon - morrison
66,0.0,0.0,0.10157458088018252,inf,0.10157458088018252,Teachers Only,White,White*,F,First person,1,0,False,something about america - testa
67,1.0,1.0,0.2307587710730543,0.2307587710730543,inf,Teachers Only,White,AAPI,F,First person,5,0,False,sold - mccormick
68,1.0,1.0,0.3146648789244149,0.3146648789244149,inf,AP Only,Non-white,AAPI,F,First person,0,1,False,snow flower and the secret fan - see
69,0.3896758703481393,0.30574098798397864,0.8444369949082582,0.7430624884898486,0.7861145214335247,AP Only,White,White*,M,Third person,0,3,True,snow falling on cedars - guterson
70,1.0,1.0,0.5244900972620858,0.5232671926034757,inf,AP Only,Non-white,MENA,M,Third person,0,1,False,snow - pamuk
71,0.0,0.0,0.41910538847711093,inf,0.41910538847711093,Both,White,White*,M,Third person,3,1,False,slaughterhouse five - vonnegut
72,1.0,1.0,0.4276465468616445,0.4276465468616445,inf,Teachers Only,Non-white,Multiracial†,M,First person,1,0,False,sky is not the limit - tyson
73,1.0,1.0,0.28719604082846556,0.28719604082846556,inf,Teachers Only,Non-white,Black,F,First person,1,0,False,skin i m in - flake
74,1.0,1.0,0.48149948855561375,0.48149948855561375,inf,AP Only,Non-white,AAPI,F,First person,0,1,False,sister of my heart - divakaruni
75,0.0,0.0,0.6151111960136941,inf,0.6151111960136941,AP Only,White,White*,F,Third person,0,5,False,sister carrie - dreiser
76,0.8573495968575563,0.7795275590551181,0.5857988914528797,0.5857988914528797,0.6273227146168344,Both,Non-white,Multiracial†,M,First person,2,1,True,sing unburied sing - ward
77,0.0,0.0,0.7582351772242675,inf,0.5870243876191916,AP Only,White,White*,M,Third person,0,1,False,silas marner - eliot
78,1.0,1.0,0.3921727996761002,0.3921727996761002,inf,Both,White,AAPI,M,Third person,2,1,False,siddhartha - hesse
79,0.0,0.0,0.6023694060706335,inf,0.6023694060706335,AP Only,White,White*,M,First person,0,1,False,set this house on fire - styron
80,0.0,0.0,0.2725905845071531,inf,0.2725905845071531,AP Only,White,White*,M,First person,0,2,False,separate peace - knowles
81,1.0,1.0,0.4586404965322555,0.4586404965322555,inf,AP Only,Non-white,Black,M,First person,0,1,False,sent for you yesterday - wideman
82,0.0,0.0,0.45892949890581713,inf,0.45892949890581713,AP Only,White,White*,F,Third person,0,1,False,sense and sensibility - austen
83,0.4018367538187611,0.5902679830747531,0.19192480874902856,0.4172598519989598,0.19192480874902856,Both,White,White*,F,First person,2,1,True,secret life of bees - kidd
84,0.0,0.0,0.43899594638991973,inf,0.43899594638991973,AP Only,White,White*,F,Third person,0,1,False,secret garden - burnett
85,0.0,0.0,0.2857272922459753,inf,0.2857272922459753,Teachers Only,White,White*,M,First person,1,0,False,scratch beginnings - shepard
86,0.0,0.0,0.711083296521001,inf,0.3364550753094688,Both,White,White*,F,Third person,6,11,False,scarlet letter - hawthorne
87,0.0,0.0,0.37809615417922726,inf,0.37809615417922726,AP Only,White,White*,M,Third person,0,1,False,saturday - mcewan
88,0.8194201206460401,0.9096467391304348,0.3737466056376538,0.3737466056376538,0.6893927730364469,Teachers Only,Non-white,Black,F,First person,3,0,True,salvage the bones - ward
